alt;become frozen
ckít̓en̓kcnem;picking berries off branches as currents, grapes
ckítsen̓kcen;footsole
ckítsens;caught up with someone
ckllel̓smentwécw, ckllu7smentwécw;forks in a road or a waterway
ckllem̓;unloading stg.
ckllén̓sem, ckíllen̓sem;extracting teeth
ckllilc;leaving or separating from a group
ckllilc;she got out of a vehicle
ck̓lucw;very sick
ck̓máqstcen̓;hips
ck̓méles;floor
ck̓mél̓esqen;top of the head
ck̓méllts̓e;core  of the body
ck̓mel̓st.s;underlying bottom of the canoe
ck̓mém̓enk;hillside
ck̓mém̓les;pasture, field
ck̓mém̓llts̓e;seed, kernel
ck̓mém̓qstcen;hip bone
ck̓méne;temple (head)
ck̓mén̓kcen,  -én;foot sole
ck̓men̓kékst;palm of hand
ck̓menkéllcw;wall, ceiling
ck̓menk;hillside
ck̓men̓s;whole set of teeth
ck̓mep;bottom of a vessel, pots, canoe
ck̓mépelqs;end of a log, board etc.
ck̓méxen;armpits
ck̓míken̓;back yard of  a building
ck̓míken̓,  t7eweltkíken̓;back of a house
ck̓míleqp,  -kp;hip joint,pit of fruit,seed
ck̓mím̓ken;mid back
ck̓múlecw  I.;bottom of water
ck̓múlecw   II.;sucker fish,ling
ck̓múlecw;sucker fish
ckosgwíg̓welt;piglets
ckoswál̓llcw;pig barn
ck̓séllts̓e, ck̓eséllts̓e;mean
cktlcén̓e / ckllelcén̓e;moving to the side of a road
cktlcétkwe / ckllelcétkwe;getting out of  the water
ckts̓úsem;piling up wood
ckts̓yélpten;crossbeam
ckuk̓utúsem̓;stepping into someone's tracks
ck̓úlkwem;home brew
ck̓úlmen;container or a place in which  stg. is made
ck̓últen;culture, heritage, mannerism
ck̓últens re qelmúcw;Aboriginal culture
ck̓úlusem;building a trail/road/bridge
ckúpcen̓;socks, stockings
ckúpens;she stuffed it(toys, pillows etc.)
ck̓utétqe7ten;threshing machine
ckuwílepten;sled
ck̓úy̓usem;putting a log/tree/board across a road/waterway
ck̓úy̓usqen;center pole on a roof
ck̓úy̓usqen;center pole which holds the roof of up
ck̓úy̓usten;log/board/tree used to cross over a waterway or to block traffic on a roadway.
ck̓úy̓ustn;centre pole
ckw7el;liquid has become lukewarm
ck̓wcum,  ck̓wcwentés;hollowing out, s/he dug a pit, formed a well
ck̓wcwél̓sqenten;fontanel
ckwekwyíns;tell someone to leave,  to chase away
ckwelkwél;liquid is lukewarm
ckwelk̓wílem;talking scandulous of another
ckwelk̓wílens;talking scandulous of another
ck̓welmín̓;location or room in which things are made
ckweltám̓;swamp meadow
ck̓weltsenélten;cook stove
ck̓wén̓cnem;looking for tracks
ck̓wén̓llqten;vegetable garden
ckwepeltsín̓s;s/he pushed  the door shut
ck̓wesecwícwelt;gosling
ckwetkwtút̓sten;spring sunflower, balsam root, blackeyed suzans, little salmon eyes  Rudbeckia hirta.
ckwíl̓lepten;sledding place
ck̓wimemém̓us;narrow path
ckwlank;hillside is green
ckwlátkwe;water with algae
ck̓wlenstén̓k;red sky at sunset  ???
ckwlentés;warming a liquid
ckwnem;receiving a song through training
ckwnémten,  seckwnémten;practice, the way things are done
ckwt̓ústen;eye
ck̓wyemtetétem̓;small container
cla7mensqéxe7ten;team of horses to haul freight
clagméwll;sleigh or sloop (horse drawn) used to haul things over snow and ice.  ???
clál̓enk;fell under the ice
clal;short of breath, infirm, sick
cláptem;took a shortcut
clapt;shortcut
cláy̓sten;rice bag
clegmál̓l;horse drawn sleigh,  wagon, hearse
clegmél̓el;wagon, car or truck
cleg̓mensqéxe7ten;team of horses pulling freight
clegtsín̓em;heading someone or stg. off
clégwtsnem;gargle
clelc;spawn
clélcten,  senclélcten;spawning grounds
clem, -entés;bite,  s/he bit into...
cleplílp̓tsnem;lemon extract
clerékstem;putting the hand into pockets or into stg.
clerém, -entés (E  m̓, n̓);insert into pockets or under clothing
clerén̓kten;stick used for stretching skins after putting on the stretching board.
clerílcten;sleeping bag
clerkstétkwem;stuck hands into water
clermín̓;stretching board,  leather scabbard for a rifle
clerqínem;s/he stuck their  head into stg.
cléwcen;snow shoeing
clexlíx;clean, clear water
clextsínem;slobbering, drooling
clígts̓ens  ???;sweat lodge (building)
clígwem;making a hole in ice,    E  to tear up
clíg̓wenk,  -gw;falling through ice
clígwenk,  sexpétkwe;water hole in ice
cligwt;ice thaws on a waterway
clíq̓wem;sprinkling water on rocks in a sweathouse
clíq̓wens;sprinkling water on rocks in a sweathouse
cll7én̓kcen;s/he stepped on a sharp object
cllátsmen̓/cllótsmen̓;mortar
cllcwilc;fog low to the ground
cllcwílcten;sleeping bag
cllécwen̓kten;lining (of clothes)
cllecwllcústen;eye glasses
cllecwllecwécwke7;slip-on slippers
cllecwllecwécwke7ten;slip covers ****
cllecwllecwpcentén;slippers
cllecwmíns;wore (a certain article of clothing)
cllecwpcném̓;putting on footwear
cllecwpéxen;vest
cllecwptém̓;stuck on inside of a pan
cllecwqín̓kst;thimble
cllegwpétkwe;lost in the water
cllem, cllémens;filling a container of dry goods
cllém̓knem;filling a sack
cllém̓knens;filling a sack
cllep̓qenúpsem;hanging stg. over  a horse's back.
cllep̓qenúpsens;hanging stg. over  a horse's back.
cllepqwétkwem̓, -en̓s;dipping and rinsing stg. in water, dipping up water.
clléqelc;getting up in the morning,  getting into a vehicle (plur.).
clléqelcst.s;cause to get up, give a ride to several people
clleqwewílem;bailing a canoe
clleqwlleq̓wqen̓én̓tkwe;water strider spider.
clleq̓wqenín̓elt;tadpole
clleqwyékstem̓;scooping up water with the hands
cllgug̓wp   (E  pt);dropped out of stg.
cllgwelcén̓e;jump ed or driven off the road
cllgwelcétkwe;jumped into the water
cllgwélesem;dropped stg. on the floor
cllgwélesens;dropped stg. on the floor
cllgwemtén̓k;hunger pangs
cllgwétkwe;dropped/lost stg. in water
cllopéllts̓e;broken heart
cllq̓wetílt;brooding hens
cllqwétkwe7ten;dog dish
cllúllcwem̓, -en̓s;win all  races, competetions
cllúmyen;catching a fish
cllúmyen;fish caught with a rod
cllúqwem̓, -en̓s;ladle up liquid, to bail a canoe.
cllúqwmen̓;cup also stg. used to bail a liquid***
cllúqwten;bailer to bail water with
cllxwélesem;taking a shortcut
cllxwéye;choking on liquid
clúqwle7cw;weeding a vegetable garden
cmálten;deerlick
cmálwe;mixed berries
cmegentés;s/he warmed up (a liquid).
cmegmég;luke warm liquid
cmegmgétkwe;warm water liquid
cmegmín̓;kettle
cmekwtsín̓s;pulling a flap down at a door opening
cmekwtsín̓ten;skin/cloth  door-covering
cmelcéne;looking back over the shoulder
cmelcenentsút;erase one's tracks (with the feet).
cmelctsín̓em,-s;kicking a door open/shut
cmelcúpsem;kicking someone  in the buttocks
cmelcúpsens;kicking someone  in the buttocks
cmelmálsten;boiled brains of large game to add oil to the hide tanning fluid.
cmelmósten̓;eye  medication
cmelqsíts̓e7;soaking animal hides before tanning
cmem, -entés;putting in between as when shuffling cards.
cmén̓cten;tobacco pouch, cigarette case
cmen;enemy
cmesékst te snewt;four winds (directions)
cmetk̓i7élkwe;veins
cmét̓kwe7ten;drink mix
cmét̓kwem̓, -en̓s;adding stg. to a liquid
cmetqín̓cen;sitting in a corner
cmetsín;lie in wait for game, sitting by the shore.
cméye;fly
cmilc;birds  hiding in tall shrubs
cmilc;creeping into a hiding place
cmólem;planting potatoes
cmólens;planting potatoes
cmólkwem;placing in water, soak (plur. objects).
cmólkwens;placing in water, soak (plur. objects).
cmúlkwem;dipping/dunking food
cmúlkwens;dipping/dunking food
cnécwkwe;See xnékkq̓e7.  ***
cnékkwe7, cnécwkwe;polluted water
cnékkwen̓s;s/he polluted the water
cnekst;mat made of rushes.
cnek̓w7ílt;one egg
cnek̓w7ú7s;single layer of clothing.
cnekwnek̓wú7sem;stepping in tracks already made
cnélep;blanket/sheet put on a mattresslfloor/ground.
cnélesens,  necnélesens;s/he spread stg. out on the floor
cnemém̓llts̓e,-mens;suspecting one's spouse of infidelity.
cnem;spreading a sheet/blanket/table cloth
cneqneq̓ílcten;neck vertebrae.
cnesép;begin, start.
cnesíknem;pursuing someone  ***
cnesíknens;pursuing someone  ***
cnéwelc, -mens;following a traill (of people or animals).
cnexwenstqín,  nexwenstqín;running downhill of animals
cník̓men̓;sawmill
cnunewelcéles;paceing the floor
cp̓7ém̓cwem;milking
cp̓7ém̓cwens;milking
cp7er;liquid has cooled
cpámtsenten;jew's harp, mouth organ
cp̓e7súlecw;mythical snake living deep in the mud also a term of abuse  "he's a no-good guy".
cpecwentsút;acting arrogant  ***
cpecwpcwéqsem;snorting
cpegpégt;empty container
cpegpéllts̓e;empty stomach
cpegwpég̓wtsnem;knocked on the door
cpegwpígwsem;opened the eyes
cpekwép;accidental spill of berries/foods
cpekwmín̓;large baskets to hold berries soon after picking
cpél̓elkwe;swollen veins
cpélem;spreading out (as berries to dry).
cpélens;spreading out (as berries to dry).
cpelk̓én̓em;rolling rocks off the road
cpelk̓wílt;gathering eggs
cpéllecwem;sun drying berries/foods.
cpéllecwens;sun drying berries/foods.
cp'éllu7s;exhausted, dead-tired (plur.).***
cpelménk;clearing on mountainside.
cpelq̓entés;turn inside out
cpelq̓entéts;winning stg. back
cpelqentét.s;won back
cpelq̓étkwe,  pelq̓étkwe;back eddy
cpeltsín;disobedient
cp̓emqsíts̓em̓, -en̓s;smoking hides with punky wood
cpén̓lecw-em;See xpéllexq̓em.  ***
cpén̓lecw-ens;See xpéllexq̓em.  ***
cpep̓7ém̓cwem;milking (plur.).
cpep̓7ém̓cwens;milking (plur.).
cpep̓é7us;motorcycle
cpepetk̓úsens;pecked/poked out the  eyes.
cpep̓úm,-ens;smoking out a room, also skunk spray
cpeqpéqen̓kcen;berries of the red willow (red osier dogwood).
cpeqtsín;dawn
cpeqtsín,  secpeqtsín;dawn
cpeq̓wqín̓em;filling a pipe with tobacco.
cpeq̓wtsín̓ten;snuff/chewing tobacco
cpésken̓;water forms on top of  ice.
cpésle7cw;water on the ground, also to irrigate fields.
cpespesíselt;kittens
cpetekél̓s;crossed a road
cpet̓étkwe;mist hangs over water
cpetkél̓s;have crossed a river, road or bridge
cpetk̓ém, -entés;prying with an instrument
cpet̓mépelqs;end of story
cpet̓mépelqs,  secpet̓mépelqs;end of a story
cpetmín̓;baby blanket liner for a birch cradle.
cpetskwpús;broken neck
cpettsín̓ten;door-covering in a sweathouse
cp̓exúlecw;stumble and fall on one's face
cpgep;empty of a container
cpi7í7elt;eagle chicks
cpi7í7elt;nestling, fledgeling eagle
cpígwsem (E p');opened the eyes .
cpílelc;disperse of people
cpílemt;scattering of people (dispersed)
cpíts̓kwens;s/he submerged stg. under water
cpítskwsem;breaking necks
cpítskwsens;breaking necks
cp̓íxmen̓;frying pan
cpíxten;hunting grounds
cpkúlecwem;spreading berries/foods on a mat to dry.
cpkúlecwens;spreading berries/foods on a mat to dry.
cpkwél̓sem;spreading foods to dry on a flat surface also graveling a road.
cpkwél̓sens;spreading foods to dry on a flat surface also graveling a road.
cpkwépem, -mens;emptying containers of dry goods.
cpkwétkwem;pouring dry mixture into a liquid.
cpkwétkwens;pouring dry mixture into a liquid.
cplem̓, -en̓tés;heating rocks before a  sweat
cplemtém̓;open valley
cplústen;stationary fishnet.
cpqétkwe;white water/liquid
cpqews;Milky Way (Galaxy)
cpq̓um;putting a bullet in a gun
cpq̓wentés/cpúq̓wens;s/he loaded a gun
cp̓séqsten;nostril
cpt̓átkwem;placed stg. in water or a liquid
cpt̓átkwens;placed stg. in water or a liquid
cptén̓kten;spleen
cptetk;cross the finish line
cptétke7;finish line
cptétkten̓;finish line
cptín̓esten;thoughts, opinions,  on any subject
cptíxwme7;spitoon
cptíxwmen̓;spittoon
cptsekllénk;tree-covered hillside  (poplars,  cottonwood,  birch etc.)
cptúsem̓,- en̓s;drawing a curtain
cptústen;curtains, blinds, window covering
cpúcwllts̓em;blow/whistle on one's cupped palms.
cpúcwllts̓eten;flute, whistle, also a horn used to attract game
cpúkwmen̓;birds food grinder pouch  ???
cpúlkwe;capsize or tip over of boats or vehickles
cp̓úmen;smoking out a den
cp̓úm̓t,-em, -mens;smoked out  (as bear from den).
cp̓unél̓esqen;toque ***
cp̓unélps;turtleneck sweater
cpupég̓wtsnem, pegwpégwtsnem;knock  on the door
cpye7é7llcw;chicken-coop
cq̓íytkwe;unable to brave cold water
cqwe7léllcw;court house
crelrelállts̓e;brave
crelrelátkwe;rough,swift water,rapids,strong (tea /coffee).
créple7sten;center pole
crépsem,  -em̓;look through binoculars
crépsten;binoculars, field glasses
cretsrétsen̓kcens;tickled sb.'s footsoles.
cretsrétsenkens;tickling
cs7ekw;hoarse  sounding voice
cs7ut̓;water level goes down considerably or has dried up.
csá7elkwem;straining a liquid
csá7elkwens;straining a liquid
csa7pép,  secsa7pép;dregs,leftover fluid in bottle
csapép,  csa7pép;few drops of fluid left in a vessel
cscwénkem;putting a spell on a hunter so that he has no success (done by shaman).
cscwénkens;putting a spell on a hunter so that he has no success (done by shaman).
csecscéqs;keen-scented
cséctsnem;eating dessert
csécwmen̓;bathtub
csek̓éwt;ravine, big valley or gulch
cseléllts̓e;undecided
cselíken;great-grandchild
cselíken;great grandparent,great grandchild,second cousins.
cselpésk̓e;overcome with panic
cselpús;drunken appearance
cselqíns;scalped
cselúse7;double-bladed, two articles of clothing being worn.
csem7ékst;dog follows close at your heels
csem7ésk̓e;whiteman's name (as opposed to original Indian name of person).
csem7í7elt;white child
csep̓úlecw;fell to the ground
csep̓úlecw  W,  cllemnúlecwem̓  N;to fall flat on one's face
csep̓úlecw, xqwexwpúlecw;fall down hard face down
cseq̓pél̓s;cracked dish, crock
csér̓men;ashtray
cseselpús;appeared panic stricken
cséwllkweten;liquor store
csgélkwem;straining a liquid
csgélkwens;straining a liquid
csícwsq̓elsten;vessel used in sweathouse to pour water on heated rocks.
csik̓wpéllts̓e;sobbing (heart wrenching) in mourning
csíq̓sem̓;broke a window
csíq̓sens;he broke a window
csíxem̓;moving stg. from one container to another
csíxens;he moving stg. from one container to another
cslál̓esqens;s/he scalped someone..
cslut;whirlpool below falls.
csp̓álqwem, -mens;bashing stg. against a tree/post/or solid object.
csp̓élkwem;making a telephone call.
csp̓él̓sem;butchering game by cutting in half
csp̓él̓sens;butchering game by cutting in half
csp̓úpsem;spank
csp̓ústen;war club.
cste7éllcw;beer parlor.
cstemstítem̓ten;suitcase,clothing chest.
csúkwem̓, -en̓s;putting sugar in a drink
csullkwe7éllcw;beer parlor, liquor store
csúlmen;freezer
csult;water has frozen
csúmens;following a scent
csúp̓men̓;air vent
csúp̓ten;air vent
csúq̓wem;skinning game after hunting, to beat sb. in a game.  ***
csúq̓wens;skinning game after hunting, to beat sb. in a game.  ***
cswéy̓sens;s/he is too lazy to do the  chore
csweyt;become lazy to do stg. or go somewhere.
cswitúll;lazy
cswitúll;lazy
csxwenkem;See xsxq̓énkem (alternative form used by some speakers).
csyéqsem;running nose
ct7ek̓;filled with liquid  1,  infected  11.
ct7élckenten;hammer for pounding dried meat.
ct̓7ilt;gathering eggs
ct7iq̓w;water becomes mirky, muddy
ct7uxw, tsectúxw  ???;tamed
cta7á7llts̓e, cta7a7éllts̓e;feeling let down, depressed
ctá7kten;stackyard
ctálkweten;gill net
ct̓cétkwe;sweet liquid
ct̓écelc;climb out of a vehicle
ct̓écem;taking food out of pots and putting it on platters or plates.
ct̓écens;taking food out of pots and putting it on platters or plates.
ctécken̓ten;packsack
ctécken̓tn;container to pack heavier articles /foods
ct̓ecwelltsném;changing one's story/tune, speaking another language other than one's  own.
ct̓egwptém̓;hardened food/substance  on the inside of pots/containers.
ct̓ek7élesten;center pole of a tent
ct̓ek7éllcw;(to go to the) toilet
ct̓ek7éllts̓entem;cross pieces to stabalize a canoe
ct̓ek7éxen;crutches
cték̓em;poured a liquid into a container
cték̓ens;poured a liquid into a container
cték̓le7ten;lunch container
ctekll;reached the bottom of a hill
ct̓ekpús;giving it one's all, act with total concentration, the head of a person/animal is stuck in stg.
ctekt̓ek7éxen;crutches (plur.)
ct̓ekwelcépelqs;shaman's power song.
ct̓ekwpílt;egg hatch
ct̓ekwpús;eye bursts
ctekwtsín;fire embers are still glowing, sparks, redhot coals
ctellt̓éllsens;s/he it glued h/her eyes shut
ct̓él̓sten;partition,  E  fence.
ctelt̓létkwe;calm water
ctemám̓llts̓e,  cte7mám̓llts̓e;easily hurt, easily moved to tears.
ct̓em;searched
ct̓entés;he searched
ctemín̓;stone hammer for softening meat
ctemtél̓sten,  ct7emtél̓sten;horse for riding,  mount.
ctemtétem̓;arrow with disconnecting head (t̓uqw).
cten7elye7ép;this side of ...
ctenú7;on the other side of the water
ctenú7;the other side of a waterway
ct̓epén̓k;black clouds above
ct̓eptém̓;dark room
ctéq̓em;crossed a waterway
cteq̓mél̓el;boat, raft, canoe
ctéq̓men̓;water crossing
cteq̓méwll;boat
cteq̓méws;crossed a road
ct̓éqneten;hairclip
ct̓eqpéqs;dead end (of road, water).
cteqtqél̓s,  tsecteqtqél̓s;stuttering
ct̓equ7sús;both eyes
ctéq̓wen̓kcenten;horseshoes
ctéq̓wle7cw-em;nailing pegs to the ground
ctéq̓wle7cw-ens;nailing pegs to the ground
ct̓eqwle7cwten;deerlick
cteqwtíq̓w;dirty/muddy water
ctet7ék̓;blistered, infected
ctet̓e7pús;black out, faint
cteteqpél̓s,  cteqteqpél̓s;stuttered
ctetét̓xwe7;shallow container
ctet̓kwsílt;hatching (of eggs)
ctet̓ú7llten;marrow
ctet̓yélpem;shaman calls on his spirit power
ct̓éxelc;fish swim upstream
ctexellts̓e7tn,  sectexellts̓e;stg. disliked immensly  (sp)???
ctexéllts̓emens;dislike intensely,  hate
ctexwpéne;received correct information
ctexwtxwén̓kcen;flat feet
ctexwtxwén̓kcen,  tsecteqwtqwén̓kcen;arch of foot
ct̓gum/ct̓úgwem, ct̓gwentés;making a visible trail
ctíq̓w-em;making water mirky/ muddy
ctíq̓w-ens;making water mirky/ muddy
Ct̓íqwentem;place name  N
ct̓íxwtsnem;raising  one's voice irritatingly loud
ct̓iyé7tn   (sp);hay field
ctkéy̓men̓;bladder, kidneys.
ctllecen̓tén;ladder
ctlt̓létkwe,  telt̓létkwe;still waters
ctlt̓létkwe, tet̓létkwe;calm waters
ctnu7ép;the other side.
ctq̓elpsqéxe7;crupper.***
ctqel̓s,  tsectqél̓s;stuttered
ctq̓elúpsten;crupper.***
ct̓qúpsem;spanking
ct̓qúpsens;spanking
cts7éqsem,ens;punching someone on the nose
cts̓áltsen,  cts̓eltsén;salt/vinegar etc.  makes the inside of the mouth sore.
cts̓ánqnem;deafened by extreme noise
cts̓ánqnens;deafened by extreme noise
cts̓ápkwem̓;make homemade beer, liquor
ctsecúselp̓ten;stove poker
ctsegwtsgwélqwem;drawing straight lines on the board/wall
ctsegwts̓úg̓wt;roof is leaking
ctsekilamám̓llts̓e;excitable,easily made angry,having a queasy stomach
ctseknén̓llcw;chicken-coop
ctseknín̓elt;chicks
ctsektém̓;hollowed out
ctsek̓úlecwten;long pole that guides a canoe, boat, raft
ctsek̓wtíken;glow of lights/fire in the sky
cts̓elcél̓s;standing on the road/table
ctselkstqín;five-point antler
cts̓éllelkwem;cooling hot liquid
ctsellts̓íllem̓;weighing
ctsellts̓íllens;he weighing
cts̓elmín̓;quiver, arrow container
ctselq̓étkwem;scooping up food/liquid with hands
ctselq̓étkwens;scooping up food/liquid with hands
cts̓él̓sem;washing windows
ctselts̓lós, ctselts̓elós;eyes are stinging
ctseltsólsem;eyes are opened wide
cts̓eméllts̓e, -mens;talking/singing  tearfully  **
ctsem, -entés;to place in a pocket, cradle etc.
cts̓em̓llós,  sects̓em̓llós;matter  over the tear duct upon awakening
cts̓emqín̓ten;brain cavity
ctsemts̓méqs, tsemts̓méqs;sharp pointed
ctsen7íknem;telling others to do stg.
ctsenem7él̓s-em,cts;trail guide
ctsenem7ík-nem;showing, instructing
ctsenem7ík-nens;showing, instructing
ctsenemékem̓;coached, trained.
cts̓enqín̓ctn, ts̓iqelcsqéxe7ten;stampede grounds
ctsents̓ánqen;ringing in the ears
ctseptsíp'sem;shutting the eyes tightly
ctseq̓elqín̓cen;stumble (without falling), hitting the toes against stg.
ctseqél̓s;vehickle is parked on a road
ctseqél̓s;vehicle breakdown
ctseqín;notches in a log to hold other logs/boards
ctseq̓qínten;sledge hammer
ctseq̓qíqenten;hammer
ctseqwén̓k;red clouds
ctserpépllts̓e7;chimney fire
ctserúlecw;clearing land by burning
ctsetém̓;bottom of valley
ctsetétle7s  (E u7s);center of
ctsetéws;midnight
ctsetíken;middle of lake or river ***
ctsetítken;mid-back
ctsetscéws;half full
ctsetsél̓s, csetsél̓s;exhausted
ctsetseníplen̓s;told sb. to do stg.
ctsetsetús;fitting exactly in an opening as a knot in wood
ctsets̓iqín̓cen;tap dance ***
ctsetsúns;telling someone to do stg. negative
